"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-CREM|CREM",304.067628043665,3.81320704047768,0.316177424633864,12.0603393644989,1.71076528895374e-33,1.69878993193106e-30
"gene-XPO1|XPO1",287.266097315877,-1.42476590206484,0.172681562504744,-8.25082817990888,1.57300575455884e-16,7.80997357138466e-14
"gene-DDX5|DDX5",1334.35684084077,1.42103273084746,0.22371552138067,6.35196307380684,2.12584361267994e-10,7.03654235797061e-08
"gene-ATP5F1A|ATP5F1A",78.6257376023812,-23.0448345780514,3.73792353464688,-6.16514339163134,7.04192981590238e-10,1.39852726143821e-07
"gene-LOC128399368|LOC128399368",47.3460453468846,-23.8942932244336,3.85808118625375,-6.19331011217917,5.89136539000361e-10,1.39852726143821e-07
"gene-TMEM131|TMEM131",123.424659322205,-1.55917715854186,0.267140589130163,-5.83654158890155,5.32954639625499e-09,8.820399285802e-07
"gene-STAU1|STAU1",7336.20899265531,0.636479223678445,0.11358843370302,5.60338058135863,2.10210962117469e-08,2.98199264832353e-06
"gene-FBXO9|FBXO9",167.15447477171,-1.46656966196094,0.264675730932995,-5.54100542876074,3.00739893242447e-08,3.73293392487188e-06
"gene-FOXO3|FOXO3",331.935746822485,1.52665685667861,0.279164342639949,5.46866710211486,4.53432458156914e-08,4.70904948283626e-06
"gene-LOC128403590|LOC128403590",54.998245183572,21.2196172245453,3.88586890734435,5.46071360885074,4.74224519923088e-08,4.70904948283626e-06
"gene-C1H11orf96|C1H11orf96",36.9265100400625,4.51776565229036,0.840480760290927,5.37521602603558,7.64909176585806e-08,6.32962343624755e-06
"gene-MYOM2|MYOM2",90.0613204523992,20.8907248665611,3.88618632856273,5.37563644671853,7.63126347548465e-08,6.32962343624755e-06
"gene-BTBD6|BTBD6",95.2973157780033,1.45412183365942,0.278788605625738,5.2158581961973,1.82968113569368e-07,1.31652520788568e-05
"gene-PBX4|PBX4",212.08116174545,-0.881008267891225,0.168995749941385,-5.21319777684821,1.85612818835846e-07,1.31652520788568e-05
"gene-EIF4E|EIF4E",2938.01034347603,1.22333394154042,0.242701165391435,5.04049471524949,4.64329950703246e-07,3.07386427365549e-05
"gene-TCF4|TCF4",120.283733432543,-1.54429276681081,0.313050450005109,-4.9330475863734,8.09564216280127e-07,5.02435791728854e-05
"gene-COPS2|COPS2",1874.14984481384,-0.518182163587164,0.105559144229736,-4.90892728780944,9.15759211729274e-07,5.34911116027747e-05
"gene-OTUD1|OTUD1",490.698187100592,3.18073786686446,0.667058932758996,4.76830113601617,1.85785938138739e-06,0.000102491909206537
"gene-YTHDF2|YTHDF2",187.960959987807,1.38955589358894,0.296813030903065,4.68158655083695,2.84663162948501e-06,0.000148773958319927
"gene-HOXC9|HOXC9",201.974041483905,-1.44483222214718,0.313170310094974,-4.61356704506571,3.95816503719082e-06,0.000196522894096524
"gene-ZBTB44|ZBTB44",414.029523806536,-0.811122151021517,0.176686275908441,-4.59074790529764,4.41660526531036e-06,0.000208842334688247
"gene-HOXC8|HOXC8",123.301644479181,-1.44699072855645,0.328670402278608,-4.40255866827297,1.06981647339209e-05,0.000482876253671973
"gene-JARID2|JARID2",147.623604452572,-1.24825322264453,0.28484153762678,-4.38227244890132,1.17447807991162e-05,0.000485940305563431
"gene-SRSF1|SRSF1",399.285365864364,0.64840974881007,0.147848615075253,4.38563288861407,1.15649027513023e-05,0.000485940305563431
"gene-TP53INP2|TP53INP2",52.8563196466175,3.46372479874963,0.810794701743834,4.27201212748424,1.93717038317543e-05,0.000769444076197281
"gene-DCAF6|DCAF6",964.11599369393,-0.602273737576085,0.143087580920451,-4.20912656222007,2.56359767997883e-05,0.000979097113930378
"gene-CAB39|CAB39",829.910636174297,0.547460166550474,0.133288444225676,4.10733405833402,4.00252141613084e-05,0.0014712694487981
"gene-ZEB1|ZEB1",809.444083189293,0.977368860024314,0.238438222624104,4.09904439509738,4.14859461896746e-05,0.0014712694487981
"gene-USP10|USP10",135.512616284302,1.22198123194092,0.303234341172635,4.02982468019753,5.5818468641902e-05,0.00191130135728995
"gene-ZFP36L2|ZFP36L2",169.141386211906,-1.22342080704406,0.305723627773227,-4.00172147620706,6.28832955717002e-05,0.00208143708342328
"gene-UBP1|UBP1",210.154630504153,-0.981213588372022,0.251740032489945,-3.89772567623392,9.71003203103895e-05,0.00311034251832957
"gene-CALM2|CALM2",3578.70795876634,-1.02330662313904,0.267659499491207,-3.8231657201939,0.000131749166144413,0.00408834131191883
"gene-ZEB2|ZEB2",776.816355132269,-0.583518543682138,0.15381562751075,-3.7936232691399,0.000148464873812659,0.00433604763811677
"gene-HOMER1|HOMER1",292.433082140116,1.06298971063058,0.279865160464161,3.79822093206455,0.000145738393392123,0.00433604763811677
"gene-CPEB4|CPEB4",3657.40833733999,-0.831034146878425,0.224416813614155,-3.70308326499654,0.00021299493541412,0.00604297059617775
