gene_id,Am_03,Am_06,Am_09,Am_12,Am_15,Am_16,Am_17,Am_18,Am_19,Am_20,Am_21,Am_22,Am_23,Am_24,Am_27
gene-TUBGCP2|TUBGCP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-KLHL28|KLHL28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LRFN5|LRFN5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128408971|LOC128408971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TOGARAM1|TOGARAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128403087|LOC128403087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PRPF39|PRPF39,7,0,0,0,0,0,0,0,7,0,9,0,0,0,0
gene-LOC128402377|LOC128402377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128411263|LOC128411263,0,0,11,0,0,0,0,4,6,7,7,10,4,7,8
gene-KLHDC1|KLHDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ARF6|ARF6,56,14,20,7,18,25,7,11,22,15,30,17,17,17,18
gene-NEMF|NEMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128412619|LOC128412619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SOS2|SOS2,0,7,0,0,0,3,0,0,0,8,0,15,0,5,0
gene-STYX|STYX,0,0,0,0,18,0,0,0,0,0,0,37,33,0,22
gene-MAP4K5|MAP4K5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-FERMT2|FERMT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RTRAF|RTRAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-BMP4|BMP4,3,0,8,0,0,4,5,0,0,0,3,0,5,5,2
gene-CNIH1|CNIH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128415635|LOC128415635,1,2,4,1,2,1,1,1,2,2,3,0,2,2,1
gene-ATG14|ATG14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ACTR10|ACTR10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PSMC6|PSMC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128402032|LOC128402032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ERO1A|ERO1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-GPR137C|GPR137C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TXNDC16|TXNDC16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-FBXO34|FBXO34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-NAA30|NAA30,167,78,54,19,38,0,51,45,0,41,92,88,67,58,54
gene-SAMD4A|SAMD4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-EXOC5|EXOC5,111,0,0,0,0,0,0,0,0,0,60,60,48,0,0
gene-PSMA3|PSMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ARID4A|ARID4A,79,45,26,44,58,21,48,57,22,59,61,39,65,42,40
gene-L3HYPDH|L3HYPDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-KTN1|KTN1,740,492,409,249,386,356,385,376,468,210,715,461,357,231,296
gene-PPM1A|PPM1A,459,374,279,190,181,209,303,276,153,271,350,259,276,218,153
gene-DAAM1|DAAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128421492|LOC128421492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128419807|LOC128419807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SIX6|SIX6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128420569|LOC128420569,2,0,2,2,0,0,0,2,0,0,0,4,2,4,0
gene-LOC128420720|LOC128420720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-MNAT1|MNAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PPP2R5E|PPP2R5E,1304,813,566,356,599,390,505,495,469,630,592,635,593,429,483
gene-LOC128422828|LOC128422828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128403060|LOC128403060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-WDR89|WDR89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-MTHFD1|MTHFD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZBTB25|ZBTB25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128423054|LOC128423054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AKAP5|AKAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PPP1R36|PPP1R36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZBTB1|ZBTB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-HSPA2|HSPA2,214,63,34,54,31,66,62,87,1168,100,38,9,12,2,34
gene-CDCA4|CDCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128424092|LOC128424092,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
gene-ADSS1|ADSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128398963|LOC128398963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SYNE2|SYNE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZFYVE21|ZFYVE21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AKT1|AKT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-KLC1|KLC1,0,50,24,16,18,15,13,0,17,20,13,0,34,22,17
gene-CKB|CKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-BRF1|BRF1,29,0,0,8,0,0,0,0,8,0,0,0,0,12,0
gene-LOC128423456|LOC128423456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-BTBD6|BTBD6,119,69,73,93,118,126,111,128,93,148,60,73,73,32,76
gene-MARK3|MARK3,0,0,8,0,0,0,2,0,0,0,10,0,0,0,0
gene-WDR20|WDR20,162,179,73,133,89,93,80,49,34,68,63,57,49,71,86
gene-LOC128405227|LOC128405227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CDC42BPB|CDC42BPB,41,33,41,23,27,17,6,13,18,23,46,51,15,16,10
gene-HSP90AA1|HSP90AA1,230,0,90,43,39,25,57,65,160,61,127,58,75,69,47
gene-DYNC1H1|DYNC1H1,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0
gene-EIF5|EIF5,10549,6486,6494,4167,4434,6402,5736,6994,7817,6283,10575,9203,5968,7762,6423
gene-LOC128403312|LOC128403312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PPP2R5C|PPP2R5C,170,86,62,47,79,63,44,64,74,91,113,140,73,77,47
gene-SLC25A47|SLC25A47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SLC25A29|SLC25A29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
gene-YY1|YY1,497,535,546,226,308,418,265,348,280,314,441,203,434,351,482
gene-CCNK|CCNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-HHIPL1|HHIPL1,0,17,0,25,0,8,0,0,10,6,8,10,0,0,0
gene-EML1|EML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-EVL|EVL,20,45,0,15,34,19,20,11,22,23,27,10,15,0,0
gene-LOC128407164|LOC128407164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SETD3|SETD3,352,401,195,227,329,245,187,166,161,219,467,451,286,341,282
gene-LOC128402412|LOC128402412,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1
gene-VRK1|VRK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LYSET|LYSET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ATG2B|ATG2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ASB2|ASB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CPSF2|CPSF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
gene-PAPOLA|PAPOLA,1640,1042,748,615,707,777,539,495,567,501,820,722,554,485,597
gene-LOC128402332|LOC128402332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-DICER1|DICER1,0,0,16,36,0,0,0,13,0,6,17,26,10,11,0
gene-TRIP11|TRIP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PPP4R3A|PPP4R3A,245,177,105,108,172,140,120,118,162,122,250,205,176,145,121
gene-TTC7B|TTC7B,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0
gene-PSMC1|PSMC1,38,0,0,0,0,0,12,0,0,0,23,0,0,0,0
gene-CALM1|CALM1,1923,1100,741,1048,1173,643,1348,1194,897,1212,2053,4054,1744,1777,984
gene-FOXN3|FOXN3,40,30,15,25,44,17,13,17,16,24,22,55,43,8,11
gene-LOC128408112|LOC128408112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128408061|LOC128408061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SEL1L|SEL1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-GTF2A1|GTF2A1,153,112,115,55,92,77,75,69,49,102,168,141,126,96,140
gene-FLRT2|FLRT2,45,14,0,3,16,21,12,0,17,26,26,20,11,0,13
gene-LOC128408255|LOC128408255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TTC8|TTC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-EML5|EML5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZC3H14|ZC3H14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PTPN21|PTPN21,0,8,0,0,0,0,0,6,0,7,0,0,0,4,0
gene-AHSA1|AHSA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SNW1|SNW1,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0
gene-SLIRP|SLIRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-VIPAS39|VIPAS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-IRF2BPL|IRF2BPL,208,65,19,31,105,38,31,28,56,36,149,181,137,145,61
gene-ANGEL1|ANGEL1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
gene-VASH1|VASH1,23,14,16,12,26,6,8,7,10,14,9,10,5,5,16
gene-TMEM63C|TMEM63C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-FOS|FOS,2,0,0,0,11,0,0,0,4,0,0,0,0,0,0
gene-LOC128408871|LOC128408871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TGFB3|TGFB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
