transcript_id,Am_03,Am_06,Am_09,Am_12,Am_15,Am_16,Am_17,Am_18,Am_19,Am_20,Am_21,Am_22,Am_23,Am_24,Am_27
rna-XM_053377362.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379461.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379313.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379396.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377487.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377579.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377665.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008329170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379595.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008327862.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053382191.1,7,0,0,0,0,0,0,0,7,0,9,0,0,0,0
rna-XM_053366433.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053383487.1,0,0,11,0,0,0,0,4,6,7,7,10,4,7,8
rna-XM_053385130.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053385205.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053385047.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053385543.1,56,14,20,7,18,25,7,11,22,15,30,17,17,17,18
rna-XM_053384151.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053384234.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008330121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053383949.1,0,7,0,0,0,3,0,0,0,8,0,15,0,5,0
rna-XM_053384027.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053384067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365740.1,0,0,0,0,18,0,0,0,0,0,0,37,33,0,22
rna-XM_053387354.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053387425.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365611.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365619.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365647.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365629.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365639.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365724.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053388188.1,3,0,8,0,0,4,5,0,0,0,3,0,5,5,2
