gene	module
gene-PAPOLA|PAPOLA	MEyellow
gene-CALM1|CALM1	MEyellow
gene-IRF2BPL|IRF2BPL	MEyellow
gene-BRMS1L|BRMS1L	MEyellow
gene-NUMB|NUMB	MEyellow
gene-CSTF3|CSTF3	MEyellow
gene-KCNJ11|KCNJ11	MEyellow
gene-UBE2E3|UBE2E3	MEyellow
gene-HNRNPA3|HNRNPA3	MEyellow
gene-PBX4|PBX4	MEyellow
gene-HOXC8|HOXC8	MEyellow
gene-DUS1L|DUS1L	MEyellow
gene-CPEB4|CPEB4	MEyellow
gene-HNRNPH1|HNRNPH1	MEyellow
gene-UGP2|UGP2	MEyellow
gene-VPS54|VPS54	MEyellow
gene-PAIP2|PAIP2	MEyellow
gene-PUM2|PUM2	MEyellow
gene-FOXO3|FOXO3	MEyellow
gene-LOC128411668|LOC128411668	MEyellow
gene-EPRS1|EPRS1	MEyellow
gene-CALM2|CALM2	MEyellow
gene-DCAF6|DCAF6	MEyellow
gene-CASK|CASK	MEyellow
gene-ARX|ARX	MEyellow
gene-TMEM131|TMEM131	MEyellow
gene-ARGLU1|ARGLU1	MEyellow
gene-MARCHF5|MARCHF5	MEyellow
gene-ZRANB1|ZRANB1	MEyellow
gene-OGA|OGA	MEyellow
gene-ATG16L1|ATG16L1	MEyellow
gene-STAG1|STAG1	MEyellow
gene-STAU1|STAU1	MEyellow
gene-CEBPB|CEBPB	MEyellow
gene-RNF139|RNF139	MEyellow
gene-AZIN1|AZIN1	MEyellow
gene-JARID2|JARID2	MEyellow
gene-SRSF4|SRSF4	MEyellow
gene-HMGN2|HMGN2	MEyellow
gene-SFPQ|SFPQ	MEyellow
gene-CNOT6L|CNOT6L	MEyellow
gene-CNOT4|CNOT4	MEyellow
gene-HIPK2|HIPK2	MEyellow
gene-PRKAG2|PRKAG2	MEyellow
gene-CREM|CREM	MEyellow
gene-NFE2L3|NFE2L3	MEyellow
gene-MSL1|MSL1	MEyellow
gene-ATF5|ATF5	MEyellow
gene-EPN1|EPN1	MEyellow
gene-FBRS|FBRS	MEyellow
gene-VAMP2|VAMP2	MEyellow
gene-COPS2|COPS2	MEyellow
gene-ABHD17C|ABHD17C	MEyellow
gene-UBC|UBC	MEyellow
gene-SRSF1|SRSF1	MEyellow
gene-ZBTB44|ZBTB44	MEyellow
gene-CAMK2B|CAMK2B	MEyellow
gene-DNM2|DNM2	MEyellow
gene-GRIA3|GRIA3	MEyellow
gene-SLC4A7|SLC4A7	MEyellow
gene-AMMECR1|AMMECR1	MEyellow
